,DBPath,correct_k,optk_MDS_gap_max,optk_MDS_gap_Tib,optk_MDS_gap*_max,optk_X_gap_max,optk_X_gap_Tib,optk_X_gap*_max,n_points,n_len1,n_len2,n_len3,n_len4,n_len5,n_len6,n_len7
105,D:\Z - Saved SQL Databases\44OP-176407_TFC_DSHS_LAB_MBC_29_VFDS_AHU_2\JobDB.mdf,15.0,36,3.0,45.0,34,3.0,5.0,115.0,0.0,0.0,19.0,88.0,8.0,0.0,0.0
106,D:\Z - Saved SQL Databases\44OP-179696_TXSU_Star_One_Addition\JobDB.mdf,45.0,51,1.0,51.0,22,1.0,1.0,95.0,0.0,0.0,94.0,1.0,0.0,0.0,0.0
107,D:\Z - Saved SQL Databases\44OP-173327_Baylor_Memorial_Dorm_Dining_Hall\JobDB.mdf,10.0,18,2.0,34.0,23,2.0,6.0,115.0,0.0,0.0,87.0,28.0,0.0,0.0,0.0
108,D:\Z - Saved SQL Databases\44OP-185054_Baylor_Old_Main\JobDB.mdf,5.0,20,2.0,25.0,16,2.0,16.0,126.0,0.0,0.0,49.0,77.0,0.0,0.0,0.0
109,D:\Z - Saved SQL Databases\44OP-176715_Seton\JobDB.mdf,807.0,29,1.0,806.0,796,1.0,2.0,807.0,0.0,0.0,807.0,0.0,0.0,0.0,0.0
110,D:\Z - Saved SQL Databases\44OP-178936_ACC_Bond_Service_Center_Controls\JobDB.mdf,9.0,1,1.0,9.0,7,1.0,7.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
111,D:\Z - Saved SQL Databases\44OP-172850_RRMC_Hybrid_OR\JobDB.mdf,2.0,3,1.0,10.0,2,1.0,2.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
112,D:\Z - Saved SQL Databases\44OP-196125_TXSU_Strahan_AHU11\JobDB.mdf,1.0,10,2.0,18.0,8,2.0,2.0,29.0,0.0,0.0,16.0,13.0,0.0,0.0,0.0
113,D:\Z - Saved SQL Databases\44OP-208597_ACC_Leander_Campus\JobDB.mdf,152.0,57,2.0,157.0,125,2.0,2.0,719.0,0.0,0.0,0.0,622.0,97.0,0.0,0.0
114,D:\Z - Saved SQL Databases\44OP-186227_Baylor_Hankamer\JobDB.mdf,37.0,40,3.0,57.0,30,3.0,9.0,232.0,0.0,2.0,218.0,12.0,0.0,0.0,0.0
115,D:\Z - Saved SQL Databases\44OP-195316_SAMC_3rd Floor PH_2_Renovation\JobDB.mdf,9.0,21,3.0,30.0,18,3.0,3.0,59.0,0.0,1.0,7.0,41.0,10.0,0.0,0.0
116,D:\Z - Saved SQL Databases\44OP-209545_TFC_LBJ_AHU_Repl_DM2016\JobDB.mdf,46.0,66,3.0,104.0,89,3.0,3.0,723.0,0.0,2.0,663.0,58.0,0.0,0.0,0.0
117,D:\Z - Saved SQL Databases\44OP-176796_Solarwinds_Ph_2\JobDB.mdf,4.0,4,1.0,12.0,6,1.0,10.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
118,D:\Z - Saved SQL Databases\44OP-183291_SAMC_Flr_3_Reno_Ph_1\JobDB.mdf,8.0,10,2.0,24.0,10,2.0,4.0,52.0,0.0,1.0,2.0,39.0,10.0,0.0,0.0
119,D:\Z - Saved SQL Databases\44OP-190047_TFC_Hobby\JobDB.mdf,24.0,30,3.0,44.0,36,3.0,10.0,167.0,0.0,0.0,4.0,151.0,12.0,0.0,0.0
120,D:\Z - Saved SQL Databases\44OP-175920_UT_BME_Dr_Peppas_Lab\JobDB.mdf,52.0,33,3.0,68.0,41,3.0,4.0,157.0,0.0,0.0,56.0,99.0,2.0,0.0,0.0
121,D:\Z - Saved SQL Databases\44OP-207960_TXSU_LBJ_Student_Center_Reno\JobDB.mdf,104.0,99,4.0,121.0,112,4.0,10.0,1533.0,1.0,4.0,1176.0,349.0,3.0,0.0,0.0
122,D:\Z - Saved SQL Databases\44OP-199631_TXSU_Retama_Hall_Reno\JobDB.mdf,23.0,27,2.0,34.0,31,2.0,2.0,116.0,0.0,0.0,110.0,6.0,0.0,0.0,0.0
123,D:\Z - Saved SQL Databases\44OP-210011_BRIC_Dr_Kim_Clean_Rm\JobDB.mdf,11.0,14,2.0,38.0,17,2.0,2.0,130.0,0.0,0.0,105.0,25.0,0.0,0.0,0.0
124,D:\Z - Saved SQL Databases\44OP-194853_MCC_Highland_Gym\JobDB.mdf,2.0,1,1.0,1.0,1,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
125,D:\Z - Saved SQL Databases\44OP-197274 TXSU Ag Bldg Rm 225\JobDB.mdf,2.0,1,1.0,4.0,2,1.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
126,D:\Z - Saved SQL Databases\44OP-173377_TFC_IAQ_P35-E\JobDB.mdf,12.0,7,2.0,28.0,6,2.0,6.0,33.0,0.0,0.0,9.0,24.0,0.0,0.0,0.0
127,D:\Z - Saved SQL Databases\44OP-175775_CCMC_Doctors_Regional\JobDB.mdf,6.0,14,2.0,27.0,22,2.0,8.0,133.0,0.0,115.0,18.0,0.0,0.0,0.0,0.0
